first_name,last_name,your_school,purchased_school,your_position,purchased_position
Tim,Albin,Charlotte,University of North Carolina at Charlotte,Head Coach,Head Coach
Tre',Bell,Charlotte,University of North Carolina at Charlotte,Assistant Coach - Cornerbacks/Defensive Pass Game Coordinator,"Assistant Coach (Cornerbacks, Defensive Passing-Game Coordinator)"
Nate,Faanes,Charlotte,University of North Carolina at Charlotte,Defensive Coordinator/Linebackers,"Assistant Coach (Defensive Coordinator, Linebackers)"
Todd,Fitch,Charlotte,University of North Carolina at Charlotte,Associate Head Coach/Offensive Coordinator/Quarterbacks,"Associate Head Coach (Offensive Coordinator, Quarterbacks)"
Brian,Haines,Charlotte,University of North Carolina at Charlotte,Assistant Head Coach/Special Teams Coordinator/Running Backs,"Assistant Head Coach (Running Backs, Special Teams)"
Kurt,Mattix,Charlotte,University of North Carolina at Charlotte,Co-Defensive Coordinator/Defensive Line,"Assistant Coach (Co-Defensive Coordinator, Defensive Line)"
Brian,Metz,Charlotte,University of North Carolina at Charlotte,Assistant Coach/Tight Ends/Recruiting Coordinator,"Recruiting Coordinator, Assistant Coach (Tight Ends)"
Bryan,Nardo,Charlotte,University of North Carolina at Charlotte,Assistant Coach/Safeties,Assistant Coach (Safeties)
Vince,Reynolds,Charlotte,University of North Carolina at Charlotte,Assistant Coach/Defensive Tackles,Assistant Coach (Defensive Tackles)
Allen,Rudolph,Charlotte,University of North Carolina at Charlotte,Assistant Coach/Offensive Line/Run Game Coordinator,Assistant Coach (Offensive Line/Run Game Coordinator
Paul,Turner,Charlotte,University of North Carolina at Charlotte,Assistant Coach - Wide Receivers/Passing Game Coordinator,"Assistant Coach (Wide Receivers, Passing-Game Coordinator)"
Jordan,Davis,East Carolina,University of North Texas,Offensive Coordinator/Quarterbacks,"Assistant Coach (Offensive Coordinator, Wide Receivers)"
Julian,Griffin,East Carolina,University of California - Berkeley,Running Backs,Assistant Coach (Running Backs)
Alex,Huettel,East Carolina,Old Dominion University,Offensive Line/Run Game Coordinator,Assistant Coach (Offensive Line)
Juan,Soto,East Carolina,University of North Texas,Wide Receivers,Assistant Coach (Wide Receivers)
Taylor,Brown,FAU,Florida Atlantic University,Executive Director of Player Personnel,Director of Player Personnel
Brett,Dewhurst,FAU,Florida Atlantic University,Defensive Coordinator,Assistant Coach (Defensive Coordinator)
David,Draper,FAU,Florida Atlantic University,Director of Football Operations,Director of Operations
Jajuan,Dulaney,FAU,Florida Atlantic University,Tight Ends,Assistant Coach (Tight Ends)
Antonio,Fenelus,FAU,Florida Atlantic University,Defensive Backs,Assistant Coach (Defensive Backs)
Stephen,Hamby,FAU,Florida Atlantic University,Offensive Line,Assistant Coach (Offensive Line)
Zach,Kittley,FAU,Florida Atlantic University,Head Football Coach,Head Coach
Brandon,Lacy,FAU,Florida Atlantic University,Ends/Rush,Assistant Coach (Edge Rushers)
DJ,McCarthy,FAU,Florida Atlantic University,Wide Receivers,Assistant Coach (Wide Receivers)
Chris,Perkins,FAU,Florida Atlantic University,Running Backs,Assistant Coach (Running Backs)
Devin,Santana,FAU,Florida Atlantic University,Defensive Tackles,Assistant Coach (Defensive Tackles)
Tyler,Schovanec,FAU,Florida Atlantic University,Special Teams Coordinator,Assistant Coach (Special Teams)
Aaron,Schwanz,FAU,Florida Atlantic University,Inside Linebacker,Assistant Coach (Inside Linebackers)
Matt,Wiesner,FAU,Florida Atlantic University,Director of Scouting/NFL Liaison,"Director of Scouting, NFL Liaison"
Jelani,Berassa,FIU,Florida International University,Assistant Coach - Wide Receivers,Assistant Coach (Wide Receivers)
Dominique,Bowman,FIU,University of Memphis,Defensive Backs/Safeties,"Assistant Coach (Defensive Backs, Safeties)"
Nick,Coleman,FIU,Florida International University,Offensive Coordinator/Quarterbacks Coach,"Assistant Coach (Offensive Coordinator, Quarterbacks)"
Tim,Conner,FIU,University of Cincinnati,Special Teams Coordinator,Assistant Coach (Special Teams)
Kevin,Decker,FIU,University of Memphis,Offensive Coordinator/Quarterbacks,"Assistant Coach (Offensive Coordinator, Quarterbacks)"
Jovan,Dewitt,FIU,Florida International University,Assistant Head Coach/Defensive Coordinator,Assistant Head Coach (Defensive Coordinator)
Aaron,Dobson,FIU,University of Memphis,Wide Receivers,Assistant Coach (Wide Receivers)
Anthony,Gaitor,FIU,Florida International University,Assistant Coach - Cornerbacks,Assistant Coach (Cornerbacks)
Kenneth,Gilstrap,FIU,Florida International University,Special Teams Coordinator - Safeties,"Assistant Coach (Safeties, Special Teams)"
Christian,Gomez,FIU,Florida International University,Graduate Assistant,Graduate Assistant
Charles,Huff,FIU,University of Memphis,Head Football Coach,Head Coach
Benedick,Hyppolite,FIU,Florida International University,Assistant Coach - Running Backs,Assistant Coach (Running Backs)
Khadry,Jackson,FIU,Florida International University,Graduate Assistant,Graduate Assistant
Andy,Kwon,FIU,University of California - Los Angeles - UCLA,Offensive Line,Assistant Coach (Offensive Line)
Telly,Lockette,FIU,University of Memphis,Assistant Head Coach/Running Backs,Assistant Head Coach (Running Backs)
Eric,Mathies,FIU,University of Memphis,Defensive Line,Assistant Coach (Defensive Line)
Edwin,Pata,FIU,Florida International University,Assistant Coach - Offensive Line,Assistant Coach (Offensive Line)
Solomon,Perez,FIU,Florida International University,Graduate Assistant,Graduate Assistant
Frank,Ponce,FIU,Florida International University,Associate Head Coach/Tight Ends,Associate Head Coach (Tight Ends)
Willie,Simmons,FIU,Florida International University,Head Coach,Head Coach
Ryan,Smith,FIU,Florida International University,Assistant Coach - Linebackers,Assistant Coach (Linebackers)
David,Weeks,FIU,University of Memphis,Co-Offensive Coordinator/Tight Ends,"Assistant Coach (Co-Offensive Coordinator, Tight Ends)"
Ricky,Brown,Navy,United States Naval Academy,Special Teams Coordinator/Outside Linebackers,"Assistant Coach (Outside Linebackers, Special Teams)"
David,Cole,Navy,United States Naval Academy,Snipes,Assistant Coach (Snipes)
